Single Phase Analysis Version 11.0: Basic Format															
Source File: C:\Users\sunee\Desktop\Devora\20241126_DAN_IHNY_SDS_WAX7_phos_0.01_0.02_0.04.uvc															
Operator:															
Sample ID:	1000														
Bar Code:	1000														
File Comments:	New File														
Lower Area Filter:	5														
Upper Area Filter:	2000														
(*)Gauge Force Correction To Strain Axis:	NO														
(#)Compliance (mm/N):	0														
RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	EMOD	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
	sq. micron	mm	N/mm	Pascals	GPa	Joules	Joules	% Strain	MPa	% Strain	MPa	Joules	% Strain	N	MPa
26	5014.1	30.22	0.8628	5200000000	5.2	0.0000003188	0.01216	0.2647	15.55	0.8604	46.27	0.0000286	53.872	1.021	203.7
27	3526	30.24	0.6336	5434000000	5.434	0	0.007534	0.2315	22.26	0.8598	56.06	0.00002635	49.735	0.6892	195.5
28	4137.6	30.52	0.6786	5005000000	5.005	0.0000006254	0.01026	0.2621	11.86	0.8191	39.36	0.00001774	58.65	0.7628	184.4
29	4903.1	30.06	0.8004	4907000000	4.907	0.0000001275	0.01302	0.2329	14.61	0.8317	44.02	0.00002542	58.35	1.063	216.9
30	3715.4	30.29	0.7012	5717000000	5.717	-0.000000007358	0.008425	0.2311	17.69	0.8584	53.6	0.00002562	52.724	0.7211	194.1
31	4245.7	30.47	0.7004	5026000000	5.026	-0.000000007358	0.008518	0.2626	19.53	0.8861	51.18	0.00002876	51.821	0.7044	165.9
32	3254.2	30.05	0.569	5254000000	5.254	0.00000002943	0.006099	0.2329	18.54	0.8319	50.05	0.00002042	46.389	0.5818	178.8
33	6072.9	30.45	0.8292	4157000000	4.157	0.0000003875	0.01259	0.2299	10.1	0.8539	35.78	0.00002668	51.363	1.12	184.5
34	3258.3	30.03	0.6151	5669000000	5.669	0.0000004194	0.007563	0.2664	18.82	0.8325	51.34	0.00001976	55.445	0.6161	189.1
35	6199.4	30.55	0.8504	4191000000	4.191	0.0000003654	0.01445	0.2619	14.08	0.8183	37.9	0.00002792	57.185	1.153	186
36	4464.7	29.97	0.6447	4327000000	4.327	0.00001197	0.01133	1.168	11.87	1.768	35.82	0.00001721	56.924	0.9448	211.6
37	5025.5	30.24	0.8363	5032000000	5.032	0.0000003581	0.003719	0.2646	16.69	0.8598	46.85	0.00002876	21.991	0.622	123.8
38	4137.6	30.04	0.6866	4985000000	4.985	0.0000004415	0.008914	0.2663	16.83	0.8322	46.24	0.00002207	49.134	0.8442	204
39	3864.9	30.55	0.7021	5550000000	5.55	0.0000002158	0.006941	0.2619	20.43	0.8183	52.04	0.00002433	43.993	0.6892	178.3
40	5706.8	30.27	0.8874	4707000000	4.707	0.0000001962	0.008762	0.2643	14.1	0.8259	39.97	0.0000257	40.7	0.8928	156.4
41	1561.3	30.92	0.2912	5766000000	5.766	0	0.003982	0.2587	28.91	0.8409	62.84	0.00001317	53.946	0.3341	214
42	3479.5	30.74	0.6438	5688000000	5.688	0	0.007376	0.2928	25.52	0.8458	57.1	0.0000249	51.269	0.6235	179.2
43	6241.8	30.52	0.9866	4824000000	4.824	0.000000439	0.01274	0.2621	13.52	0.8191	40.24	0.00002833	51.573	1.077	172.6
44	5956.2	30.06	1.081	5457000000	5.457	0.0000001766	0.01117	0.2329	15.24	0.8649	49.17	0.00003685	46.341	1.072	179.9
45	3727.9	30.45	0.6846	5592000000	5.592	0.000000309	0.008633	0.2299	16.32	0.8539	50.27	0.00002322	52.118	0.7466	200.3
46	3281.8	30.31	0.5796	5353000000	5.353	0.0000002821	0.00536	0.2309	16.59	0.8578	50.67	0.00002106	44.375	0.4856	148
47	3552.1	30.68	0.639	5519000000	5.519	0.0000001251	0.007605	0.2934	22.92	0.9126	56.48	0.00002676	50.391	0.6588	185.5
48	3267.2	30.42	0.5765	5367000000	5.367	0.0000002796	0.007017	0.263	19.97	0.8547	52.85	0.00002145	49.211	0.649	198.6
49	3330.2	30.66	0.5933	5462000000	5.462	0	0.007778	0.2609	26.07	0.8806	59.51	0.00002748	53.947	0.6465	194.1
50	3365.9	30.65	0.6237	5679000000	5.679	0.0000003679	0.007547	0.2936	19.38	0.8809	52.61	0.0000219	54.551	0.5916	175.8
Note 1: Columns marked (*) are affected if gauge force correction is applied					0										
															
Note 2: Columns marked (#) are affected if the compliance factor is > 0															
